Qty,Parts,DIS,DPN,MFR,MPN
1,JP11,Digi-Key,A19439-ND,TE Connectivity AMP Connectors,1-640454-2
10,"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP10",Digi-Key,ED10561-ND,On Shore Technology Inc.,OSTVN02A150
9,"R2, R5, R8, R11, R14, R17, R20, R23, R26",Digi-Key,749-2062-1-ND,Vishay Beyschlag/Draloric/BC Components,CCF5510K0FKE36
9,"C3, C6, C9, C12, C15, C18, C21, C24, C27",Digi-Key,445-181284-1-ND,TDK Corporation,FG28X5R1E106MRT06
18,"R1, R3, R4, R6, R7, R9, R10, R12, R13, R15, R16, R18, R19, R21, R22, R24, R25, R27",Digi-Key,749-2068-1-ND,Vishay Beyschlag/Draloric/BC Components,CCF551K00FKE36
18,"C1, C2, C4, C5, C7, C8, C10, C11, C13, C14, C16, C17, C19, C20, C22, C23, C25, C26",Digi-Key,445-173577-1-ND,TDK Corporation,FG28X5R1E475KRT06
9,"L1, L2, L3, L4, L5, L6, L7, L8, L9",Digi-Key,495-5572-1-ND,EPCOS - TDK Electronics,B78108S1682K000
9,"PMOS, PMOS1, PMOS2, PMOS3, PMOS4, PMOS5, PMOS6, PMOS7, PMOS8",Digi-Key,TP2104N3-G-ND,Microchip Technology,TP2104N3-G
9,"NMOS, NMOS1, NMOS2, NMOS3, NMOS4, NMOS5, NMOS6, NMOS7, NMOS8",Digi-Key,2N7000-G-ND,Microchip Technology,2N7000-G
9,"PS1, PS2, PS3, PS4, PS5, PS6, PS7, PS8, PS9",Digi-Key,102-6291-ND,CUI Inc.,PDSE1-S5-S5-S
9,"RED, RED1, RED2, RED3, RED4, RED5, RED6, RED7, RED8",Digi-Key,TLUR6400-ND,Vishay Semiconductor Opto Division,TLUR6400
9,"GREEN, GREEN1, GREEN2, GREEN3, GREEN4, GREEN5, GREEN6, GREEN7, GREEN8",Digi-Key,TLHG5200-ND,Vishay Semiconductor Opto Division,TLHG5200
