Qty,Parts,DIS,DPN,MFR,MPN
5,"BBAI_5V, PIT_GREEN, SFE_5V, SFE_24V, VI_24V",Digi-Key,WM10560CT-ND,Molex,1718573002
8,"H1, H2, H3, H4, H5, H6, H7, H8",,,,
1,BOOST_CAP,Digi-Key,478-5007-1-ND,AVX Corporation,06035C103JAT2A
1,C_IN3,Digi-Key,587-3171-1-ND,Taiyo Yuden,UMK107ABJ474KA-T
1,C_OUT1,Digi-Key,587-5426-1-ND,Taiyo Yuden,EMK325ABJ107MM-P
1,C_IN2,Digi-Key,565-3335-1-ND,United Chemi-Con,KTS500B156M55N0T00
1,C_IN1,Digi-Key,565-3335-1-ND,United Chemi-Con,KTS500B156M55N0T00
1,SOFTSTART,Digi-Key,1276-1091-1-ND,Samsung Electro-Mechanics,CL10C102JB8NNNC
1,POE_IN,Digi-Key,2092-KLDX-SMT2-0202-ACT-ND,"Kycon, Inc.",KLDX-SMT2-0202-ATR
1,C_OUT2,Digi-Key,445-6002-1-ND,TDK Corporation,C3216X5R1C336M160AB
1,L1,Digi-Key,553-1406-ND,Pulse Electronics Power,PE-53823SNL
1,C_OUT,Digi-Key,490-16309-1-ND,Murata Electronics,GRM32EC81C476KE15K
1,I_LIM_ADJ,Digi-Key,311-8.20KFRCT-ND,Yageo,RC1206FR-078K2L
1,U1,Digi-Key,LM2673SX-5.0/NOPBCT-ND,Texas Instruments,LM2673SX-5.0/NOPB
1,D1,Digi-Key,SR305-TPMSCT-ND,Micro Commercial Co,SR305-TP
