Qty,Parts,DIS,DPN,MFR,MPN
1,BATTERY,Digi-Key,A113320-ND,TE Connectivity AMP Connectors,282837-2
10,"IGN, SOV_1, SOV_2, SOV_3, SOV_4, SOV_5, SOV_6, SOV_7, SOV_8, SOV_9",Digi-Key,900-0022232021-ND,Molex,22232021
1,JP1,Digi-Key,AE11083-ND,Molex,AWHW 10A-0202-T
2,"CN7, CN10",Digi-Key,S7122-ND,Sullins Connector Solutions,PPPC192LFBN-RC
2,"R80, R81",Digi-Key,541-2779-1-ND,Vishay Dale,RCS06030000Z0EA
1,C46,Digi-Key,1276-CL10B104KB8NNNLCT-ND,Samsung Electro-Mechanics,CL10B104KB8NNNL
1,C43,Digi-Key,1276-CL10B104KB8NNNLCT-ND,Samsung Electro-Mechanics,CL10B104KB8NNNL
10,"R3, R16, R23, R26, R29, R32, R35, R38, R41, R44",Digi-Key,311-10.0KCRCT-ND,Yageo,RC0805FR-0710KL
2,"C52, C53",Digi-Key,1276-6736-1-ND,Samsung Electro-Mechanics,CL31A106MBHNNNE
1,R69,Digi-Key,2019-RK73H2ATTD1133FCT-ND,"KOA Speer Electronics, Inc.",RK73H2ATTD1133F
2,"C50, C51",Digi-Key,1276-1860-1-ND,Samsung Electro-Mechanics,CL10A105KB8NNNC
1,R1,Digi-Key,P20KBZCT-ND,Panasonic Electronic Components,ERJ-PA3J203V
10,"R17, R18, R19, R20, R59, R60, R61, R62, R63, R64",Digi-Key,RHM20KDTR-ND,Rohm Semiconductor,ESR03EZPJ203
10,"Q1, Q4, Q6, Q8, Q10, Q12, Q14, Q16, Q18, Q20",Digi-Key,1727-1142-1-ND,Nexperia USA Inc.,"BSS138P,215"
10,"R7, R21, R24, R27, R30, R33, R36, R39, R42, R45",Digi-Key,RMCF0805FT28K0CT-ND,Stackpole Electronics Inc,RMCF0805FT28K0
1,L3,Digi-Key,553-PM4340.333NLTCT-ND,Pulse Electronics Power,PM4340.333NLT
10,"R2, R6, R22, R25, R28, R31, R34, R37, R40, R43",Digi-Key,311-4.70KCRCT-ND,Yageo,RC0805FR-074K7L
1,C45,Digi-Key,1276-1248-1-ND,Samsung Electro-Mechanics,CL21A475KBQNNNE
1,C47,Digi-Key,445-1277-1-ND,TDK Corporation,C1608C0G1H470J080AA
1,R76,Digi-Key,BC4966CT-ND,Vishay Dale,CRMA1206AF500KFKEF
1,R75,Digi-Key,2019-RK73H2ATTD8201FCT-ND,"KOA Speer Electronics, Inc.",RK73H2ATTD8201F
10,"D3, D4, D5, D6, D7, D8, D9, D10, D11, D13",Digi-Key,1514-CMPSH1-4TRPBFREECT-ND,Central Semiconductor Corp,CMPSH1-4 TR PBFREE
1,D31,Digi-Key,DFLS160DICT-ND,Diodes Incorporated,DFLS160-7
11,"12V.REG, SOV_0., SOV_1., SOV_2., SOV_3., SOV_4., SOV_5., SOV_6., SOV_7., SOV_8., SOV_9.",Digi-Key,350-2035-1-ND,Dialight,5988070107F
10,"Q2, Q3, Q5, Q7, Q9, Q11, Q13, Q15, Q17, Q19",Digi-Key,IRF9530NPBF-ND,Infineon Technologies,IRF9530NPBF
1,U$2,Digi-Key,1589-1120-1-ND,Monolithic Power Systems Inc.,MP2456GJ-P
1,R77,,,,
