Qty,Parts,DIS,DPN,MFR,MPN
1,L1,Digi-Key,445-174699-1-ND,TDK Corporation,CLF5030NIT-100M-D
1,TO_VI,Digi-Key,WM10196-ND,Molex,1718570012
1,POE_IN_5V,Digi-Key,900-0022232021-ND,Molex,22232021
1,JP1,Digi-Key,S2011EC-12-ND,Sullins Connector Solutions,PRPC012DAAN-RC
4,"R80, R81, R82, R83",Digi-Key,541-2779-1-ND,Vishay Dale,RCS06030000Z0EA
14,"C16, C17, C19, C21, C23, C28, C34, C44, C55, C56, C59, C60, C63, C64",Digi-Key,1276-1009-1-ND,Samsung Electro-Mechanics,CL10B103KB8NNNC
17,"C12, C18, C20, C22, C24, C27, C29, C31, C46, C48, C54, C57, C58, C61, C62, C65, C66",Digi-Key,1276-CL10B104KB8NNNLCT-ND,Samsung Electro-Mechanics,CL10B104KB8NNNL
7,"R21, R25, R29, R33, R39, R50, R55",Digi-Key,2019-SG73P1JTTD1000FCT-ND,"KOA Speer Electronics, Inc.",SG73P1JTTD1000F
7,"R22, R26, R30, R34, R40, R51, R57",Digi-Key,2019-SG73P1JTTD1000FCT-ND,Stackpole Electronics Inc,SG73P1JTTD1000F
1,C43,Digi-Key,1276-CL10B104KB8NNNLCT-ND,Samsung Electro-Mechanics,CL10B104KB8NNNL
1,POE_BYPASS,Digi-Key,P5182-ND,Panasonic Electronic Components,ECA-1HM101
1,R37,Digi-Key,RHM10KADCT-ND,Rohm Semiconductor,ESR03EZPF1002
3,"C25, C52, C53",Digi-Key,1276-6736-1-ND,Samsung Electro-Mechanics,CL31A106MBHNNNE
1,R69,Digi-Key,2019-RK73H2ATTD1133FCT-ND,"KOA Speer Electronics, Inc.",RK73H2ATTD1133F
33,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C30, C35, C36, C37, C38, C39, C40, C41, C42, C70, C71, C73, C74, C75, C76, C77, C78, C79, C80, C83, C84, C85, C86",Digi-Key,1276-1160-1-ND,Samsung Electro-Mechanics,CL10C121JB8NNNC
10,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10",Digi-Key,A110464CT-ND,TE Connectivity Passive Product,4-2176091-1
7,"R24, R28, R32, R43, R48, R53, R63",Digi-Key,511-1732-1-ND,Stackpole Electronics Inc,SDR03EZPJ102
7,"R23, R27, R31, R42, R44, R52, R59",Digi-Key,118-CMP0603-FX-1004ELFCT-ND,Bourns Inc.,CMP0603-FX-1004ELF
1,D30,Digi-Key,1N4148W-FDICT-ND,Diodes Incorporated,1N4148W-7-F
35,"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R41, R46, R47, R49, R54, R56, R58, R60, R61, R62, R65, R66, R68, R70, R71, R72, R73, R74, R78, R79, R84, R88, R89, R90, R91",Digi-Key,P1.0KBYCT-ND,Panasonic Electronic Components,ERJ-PA3F1001V
1,C67,Digi-Key,1276-1102-1-ND,Samsung Electro-Mechanics,CL10A105KA8NNNC
6,"C11, C13, C14, C15, C32, C33",Digi-Key,1276-1860-1-ND,Samsung Electro-Mechanics,CL10A105KB8NNNC
2,"C50, C51",Digi-Key,1276-1860-1-ND,Samsung Electro-Mechanics,CL10A105KB8NNNC
2,"R45, R85",Digi-Key,P20KBZCT-ND,Panasonic Electronic Components,ERJ-PA3J203V
2,"POE, THRUSTPOWER",Digi-Key,900-0022232021-ND,Molex,22-23-2021
16,"PT-F02, PT-F03, PT-F04, PT-L01, PT-L02, PT-L03, PT-L04, PT-M01, PT-M02, TT-F01, TT-F02, TT-L01, TT-L02, TT-L03, TT-L04, TT-L05",Digi-Key,900-0022232021-ND,Molex,22-23-2021
1,PT-F01,Digi-Key,900-0022232021-ND,Molex,22-23-2021
1,TP,Digi-Key,WM4203-ND,Molex,22-23-2051
1,C68,Digi-Key,490-10468-1-ND,Murata Electronics,GRM188C60J226MEA0D
1,R36,Digi-Key,2019-RK73H2ATTD2372FCT-ND,"KOA Speer Electronics, Inc.",RK73H2ATTD2372F
1,L3,Digi-Key,553-PM4340.333NLTCT-ND,Pulse Electronics Power,PM4340.333NLT
2,"C26, C45",Digi-Key,1276-1248-1-ND,Samsung Electro-Mechanics,CL21A475KBQNNNE
2,"C47, C49",Digi-Key,445-1277-1-ND,TDK Corporation,C1608C0G1H470J080AA
