"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DIS";"DPN";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MFR";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"2";".33";"R-US_R0603";"R0603";"RS_H, RS_L";"RESISTOR, American symbol";"";"Digi-Key";"P.33AJCT-ND";"";"";"";"Panasonic Electronic Components";"";"";"ERJ-3RQFR33V";"77";"";"";"R";
"3";"100nF";"C-USC0603";"C0603";"C10, C11, C12";"CAPACITOR, American symbol";"";"Digi-Key";"1276-1006-1-ND";"";"";"";" Samsung Electro-Mechanics";"";"";"CL10B104KA8NNNC";"37";"";"";"C";
"2";"100uF";"C-US025-025X050";"C025-025X050";"C1_H, C1_L";"CAPACITOR, American symbol";"";"Digi-Key";"1572-1044-ND";"";"";"";"Illinois Capacitor";"";"";"107CKR050M";"0";"";"";"C";
"14";"10k";"R-US_R0603";"R0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R14, R15, R16, R17, R18";"RESISTOR, American symbol";"";"Digi-Key";"RMCF0603FT10K0CT-ND";"";"";"";"Stackpole Electronics Inc";"";"";"RMCF0603FT10K0";"77";"";"";"R";
"2";"10uF";"C-USC1206";"C1206";"C0_H, C0_L";"CAPACITOR, American symbol";"";"Digi-Key";"1276-6736-1-ND";"";"";"";"Samsung Electro-Mechanics";"";"";"CL31A106MBHNNNE";"24";"";"";"C";
"2";"1N5819G_0_0";"ON_SEMICONDUCTOR_1N5819GON_SEMICONDUCTOR_1N5819G_0_0";"ON_SEMICONDUCTOR_1N5819G_0";"D1, D2";"ONSC-D-K1A2-2_A";"";"Digi-Key";"1N5819GOS-ND";"";"";"";"On Semiconductor";"";"";"1N5819G";"";"";"";"";
"4";"1k";"R-US_R0603";"R0603";"R10, R11, R12, R13";"RESISTOR, American symbol";"";"Digi-Key";"RMCF0603JJ1K00CT-ND";"";"";"";"Stackpole Electronics Inc";"";"";"RMCF0603JJ1K00";"77";"";"";"R";
"1";"2.2k";"R-US_R0603";"R0603";"R2_L";"RESISTOR, American symbol";"";"Digi-Key";"P2.20KHCT-ND";"";"";"";"Panasonic Electronic Components";"";"";"ERJ-3EKF2201V";"77";"";"";"R";
"1";"220uH";"L-US0204/5";"0204/5";"L2";"INDUCTOR, American symbol";"";"Digi-Key";"811-2101-ND ";"";"";"";"Murata Power Solutions Inc. ";"";"";"12RS224C";"0";"";"";"L";
"1";"220uH";"L-US0204/5";"0204/5";"L1";"INDUCTOR, American symbol";"";"DigiKey";"811-2101-ND ";"";"";"";"Murata Power Solutions Inc. ";"";"";"12RS224C";"0";"";"";"L";
"1";"24V";"DCBARRELSMT";"DCJACK_2MM_SMT";"POE_IN";"2.0mm DC Barrel Jack";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3.3k";"R-US_R0603";"R0603";"R1_H";"RESISTOR, American symbol";"";"Digi-Key";"311-3.30KHRCT-ND";"";"";"";"Yageo";"";"";"RC0603FR-073K3L";"77";"";"";"R";
"1";"3.6k";"R-US_R0603";"R0603";"R1_L";"RESISTOR, American symbol";"";"Digi-Key";"311-3.60KHRCT-ND";"";"";"";"Yageo";"";"";"RC0603FR-073K6L";"77";"";"";"R";
"9";"4.7nF";"C-USC0603";"C0603";"C1, C2, C3, C4, C5, C6, C7, C8, C9";"CAPACITOR, American symbol";"";"Digi-Key";"445-7400-1-ND";"";"";"";"TDK Corporation";"";"";"C1608C0G1H472J080AA";"37";"";"";"C";
